gridpoin_ID XDisplacement(m) YDisplacement(m) ZDisplacement(m)
146 -0.000241196 -0.0002434 -0.000523277 
147 0 -0.000239254 -0.000450126 
148 -0.000252498 -0.000266804 -0.000536622 
149 0 -0.000269547 -0.000467052 
150 -0.000274728 -0.000301917 -0.000550216 
151 0 -0.000214262 -0.00037944 
152 0 -0.000216697 -0.000401384 
153 -0.000230641 -0.000235826 -0.000469931 
154 -0.00022788 -0.000239111 -0.000490783 
155 0 -0.000228289 -0.000421324 
156 -0.000229944 -0.000252635 -0.000506765 
157 0 -0.000249362 -0.000439478 
158 -0.000240735 -0.000277017 -0.000520492 
159 0 -0.000280594 -0.000456785 
160 -0.000261471 -0.000313118 -0.000534577 
161 0 -0.000221013 -0.000368149 
162 0 -0.000224097 -0.000390077 
163 -0.000217467 -0.000241898 -0.000452558 
164 -0.000216027 -0.00024609 -0.000473623 
165 0 -0.000236406 -0.000410094 
166 -0.000218503 -0.000260505 -0.000489882 
167 0 -0.000258259 -0.000428457 
168 -0.000228774 -0.000285754 -0.000504026 
169 0 -0.000290213 -0.000446217 
170 -0.000247998 -0.00032261 -0.000518565 
171 0 -0.000226553 -0.000356693 
172 0 -0.000230362 -0.000378512 
173 -0.000204314 -0.000246552 -0.000434963 
174 -0.000204116 -0.000251714 -0.000456247 
175 0 -0.000243383 -0.000398637 
176 -0.000206961 -0.000267004 -0.000472768 
177 0 -0.000265899 -0.000417181 
178 -0.000216697 -0.000293005 -0.000487303 
179 0 -0.00029841 -0.000435385 
180 -0.000234424 -0.000330396 -0.00050233 
181 0 -0.00023088 -0.000344977 
182 0 -0.000235499 -0.000366764 
183 -0.000191272 -0.0002498 -0.000417388 
184 -0.000192228 -0.000256014 -0.000438769 
185 0 -0.00024922 -0.000386948 
186 -0.000195394 -0.000272153 -0.00045553 
187 0 -0.000272267 -0.000405744 
188 -0.000204579 -0.000298768 -0.00047046 
189 0 -0.000305202 -0.000424295 
190 -0.000220858 -0.000336497 -0.000485959 
191 0 -0.000234014 -0.000333157 
192 0 -0.000239519 -0.000354902 
193 -0.000178443 -0.000251678 -0.000399803 
194 -0.000180451 -0.000259029 -0.000421266 
195 0 -0.000253872 -0.00037517 
196 -0.000183896 -0.000275959 -0.000438257 
197 0 -0.000277395 -0.000394125 
198 -0.000192515 -0.000303067 -0.000453563 
199 0 -0.000310562 -0.000413 
200 -0.000207347 -0.000340945 -0.000469541 
201 0 -0.000236001 -0.000321256 
202 0 -0.000242396 -0.00034296 
203 -0.000165887 -0.000252254 -0.000382378 
204 -0.000168834 -0.000260768 -0.000403857 
205 0 -0.000257363 -0.000363285 
206 -0.000172527 -0.000278455 -0.00042107 
207 0 -0.00028128 -0.000382431 
208 -0.000180561 -0.000305953 -0.000436751 
209 0 -0.000314499 -0.00040164 
210 -0.000193965 -0.000343768 -0.00045314 
211 0 -0.000236854 -0.000309377 
212 0 -0.000244146 -0.000330981 
213 -0.00015367 -0.00025161 -0.000365191 
214 -0.000157447 -0.000261281 -0.000386672 
215 0 -0.000259719 -0.000351364 
216 -0.000161334 -0.000279681 -0.00040406 
217 0 -0.000283922 -0.000370683 
218 -0.000168782 -0.000307456 -0.000420054 
219 0 -0.000317078 -0.000390199 
220 -0.000180795 -0.000345022 -0.000436867 
221 0 -0.000236622 -0.000297599 
222 0 -0.000244824 -0.000319024 
223 -0.000141856 -0.00024981 -0.000348383 
224 -0.00014634 -0.000260615 -0.000369779 
225 0 -0.000260948 -0.000339485 
226 -0.000150371 -0.000279679 -0.000387289 
227 0 -0.000285357 -0.000358972 
228 -0.000157236 -0.00030761 -0.00040355 
229 0 -0.000318276 -0.000378767 
230 -0.000167895 -0.000344799 -0.000420751 
231 0 -0.000235352 -0.000285954 
232 0 -0.000244478 -0.000307256 
233 -0.000130499 -0.000246942 -0.000331934 
234 -0.000135585 -0.00025884 -0.000353215 
235 0 -0.000261097 -0.000327658 
236 -0.000139699 -0.000278494 -0.00037081 
237 0 -0.000285593 -0.00034728 
238 -0.000145974 -0.000306503 -0.000387388 
239 0 -0.000318128 -0.000367339 
240 -0.000155351 -0.000343141 -0.000404892 
241 0 -0.00023311 -0.000274467 
242 0 -0.000243133 -0.000295606 
243 -0.000119637 -0.000243085 -0.000315974 
244 -0.00012523 -0.000256032 -0.000337051 
245 0 -0.000260189 -0.000315978 
246 -0.00012936 -0.000276181 -0.000354746 
247 0 -0.000284673 -0.000335709 
248 -0.000135036 -0.000304163 -0.000371551 
249 0 -0.000316716 -0.000355996 
250 -0.000143201 -0.000340111 -0.000389419 
251 0 -0.000229949 -0.000263153 
252 0 -0.000240824 -0.000284091 
253 -0.000109303 -0.000238331 -0.000300527 
254 -0.000115308 -0.000252261 -0.000321408 
255 0 -0.000258257 -0.000304429 
256 -0.00011939 -0.000272825 -0.000339106 
257 0 -0.000282622 -0.000324285 
258 -0.000124459 -0.000300647 -0.000356164 
259 0 -0.00031407 -0.000344747 
260 -0.000131477 -0.000335812 -0.000374306 
261 0 -0.000225923 -0.000252069 
262 0 -0.000237582 -0.000272825 
263 -9.95202e-05 -0.000232759 -0.000285683 
264 -0.00010584 -0.000247602 -0.000306258 
265 0 -0.000255323 -0.000293187 
266 -0.000109817 -0.000268486 -0.000323948 
267 0 -0.00027951 -0.000313095 
268 -0.00011428 -0.00029603 -0.000341195 
269 0 -0.000310235 -0.000333731 
270 -0.000120212 -0.000330299 -0.000359591 
271 0 -0.000221095 -0.000241309 
272 0 -0.000233485 -0.000261874 
273 -9.03146e-05 -0.000226457 -0.000271434 
274 -9.68381e-05 -0.00024211 -0.000291679 
275 0 -0.000251449 -0.000282176 
276 -0.00010067 -0.000263207 -0.000309318 
277 0 -0.000275365 -0.000302129 
278 -0.00010452 -0.000290389 -0.000326758 
279 0 -0.000305302 -0.00032294 
280 -0.00010944 -0.000323641 -0.00034533 
281 0 -0.000215541 -0.000230837 
282 0 -0.000228583 -0.000251204 
283 -8.16803e-05 -0.000219514 -0.000257846 
284 -8.83033e-05 -0.000235853 -0.000277696 
285 0 -0.000246681 -0.000271435 
286 -9.19637e-05 -0.000257068 -0.000295261 
287 0 -0.000270243 -0.000291457 
288 -9.52272e-05 -0.000283782 -0.000312835 
289 0 -0.000299324 -0.000312356 
290 -9.91713e-05 -0.000315937 -0.000331578 
291 0 -0.000209322 -0.000220782 
292 0 -0.000222917 -0.000240909 
293 -7.3614e-05 -0.000212012 -0.000244864 
294 -8.02529e-05 -0.000228904 -0.000264312 
295 0 -0.000241064 -0.000261053 
296 -8.37028e-05 -0.000250143 -0.000281844 
297 0 -0.000264181 -0.000281105 
298 -8.64076e-05 -0.000276294 -0.000299484 
299 0 -0.000292329 -0.000302047 
300 -8.94449e-05 -0.000307309 -0.000318401 
301 0 -0.000202519 -0.000211102 
302 0 -0.000216546 -0.000230966 
303 -6.61022e-05 -0.000204023 -0.000232533 
304 -7.26997e-05 -0.000221337 -0.00025158 
305 0 -0.000234652 -0.000250975 
306 -7.58919e-05 -0.000242477 -0.000269014 
307 0 -0.000257262 -0.000271064 
308 -7.80444e-05 -0.00026798 -0.000286703 
309 0 -0.000284413 -0.000292093 
310 -8.02822e-05 -0.000297794 -0.000305731 
311 0 -0.000195181 -0.000201856 
312 0 -0.000209531 -0.000221431 
313 -5.91452e-05 -0.000195619 -0.000220924 
314 -6.56425e-05 -0.000213215 -0.000239518 
315 0 -0.000227506 -0.000241349 
316 -6.85542e-05 -0.000234134 -0.000256807 
317 0 -0.000249542 -0.00026139 
318 -7.0176e-05 -0.000258922 -0.000274536 
319 0 -0.000275621 -0.000282456 
320 -7.16538e-05 -0.000287467 -0.000293598 
321 0 -0.000187371 -0.000193023 
322 0 -0.000201926 -0.000212316 
323 -5.27402e-05 -0.000186869 -0.00020993 
324 -5.90754e-05 -0.000204591 -0.000228091 
325 0 -0.000219678 -0.000232143 
326 -6.16821e-05 -0.000225193 -0.000245233 
327 0 -0.000241077 -0.000252142 
328 -6.2798e-05 -0.000249184 -0.00026297 
329 0 -0.000266041 -0.000273168 
330 -6.35604e-05 -0.000276408 -0.000282092 
331 0 -0.000179136 -0.000184644 
332 0 -0.000193776 -0.000203648 
333 -4.68685e-05 -0.000177822 -0.000199652 
334 -5.298e-05 -0.000195522 -0.000217334 
335 0 -0.000211238 -0.000223317 
336 -5.52683e-05 -0.000215716 -0.000234301 
337 0 -0.000231908 -0.000243257 
338 -5.59033e-05 -0.000238837 -0.000252012 
339 0 -0.00025569 -0.000264267 
340 -5.60184e-05 -0.000264698 -0.000271205 
341 0 -0.000170528 -0.000176668 
342 0 -0.000185139 -0.000195385 
343 -4.15009e-05 -0.000168522 -0.00019002 
344 -4.73643e-05 -0.000186076 -0.000207268 
345 0 -0.000202215 -0.000214919 
346 -4.93062e-05 -0.000205766 -0.000224032 
347 0 -0.000222072 -0.00023481 
348 -4.94859e-05 -0.00022794 -0.00024173 
349 0 -0.000244659 -0.000255779 
350 -4.89947e-05 -0.000252397 -0.000260966 
351 0 -0.000161594 -0.000169189 
352 0 -0.000176068 -0.000187604 
353 -3.66063e-05 -0.000159029 -0.000181053 
354 -4.21947e-05 -0.000176307 -0.00019785 
355 0 -0.000192657 -0.000206987 
356 -4.37908e-05 -0.000195371 -0.000214426 
357 0 -0.000211654 -0.000226832 
358 -4.35213e-05 -0.000216536 -0.00023208 
359 0 -0.000232999 -0.000247711 
360 -4.24942e-05 -0.000239589 -0.000251308 
361 0 -0.000152396 -0.00016221 
362 0 -0.000166597 -0.000180307 
363 -3.21587e-05 -0.000149383 -0.000172666 
364 -3.74591e-05 -0.000166238 -0.000189054 
365 0 -0.000182607 -0.00019952 
366 -3.8719e-05 -0.000184597 -0.000205472 
367 0 -0.000200706 -0.000219275 
368 -3.80189e-05 -0.000204685 -0.000223066 
369 0 -0.000220782 -0.000240097 
370 -3.64994e-05 -0.000226306 -0.000242244 
371 0 -0.000142968 -0.000155667 
372 0 -0.000156781 -0.000173491 
373 -2.81339e-05 -0.00013961 -0.000164995 
374 -3.31395e-05 -0.000155928 -0.000180942 
375 0 -0.000172132 -0.000192527 
376 -3.40757e-05 -0.000173481 -0.000197157 
377 0 -0.000189253 -0.000212182 
378 -3.29636e-05 -0.000192447 -0.00021471 
379 0 -0.000208054 -0.000232931 
380 -3.09987e-05 -0.000212626 -0.000233846 
381 0 -0.00013333 -0.000149575 
382 0 -0.000146648 -0.00016711 
383 -2.45124e-05 -0.000129746 -0.000157916 
384 -2.92143e-05 -0.000145417 -0.000173426 
385 0 -0.000161262 -0.000185994 
386 -2.98359e-05 -0.000162064 -0.000189464 
387 0 -0.000177358 -0.000205552 
388 -2.83537e-05 -0.000179853 -0.000206968 
389 0 -0.000194866 -0.000226225 
390 -2.59889e-05 -0.000198593 -0.000226027 
391 0 -0.000123517 -0.00014391 
392 0 -0.000136243 -0.000161178 
393 -2.12732e-05 -0.00011982 -0.000151431 
394 -2.56692e-05 -0.000134723 -0.0001666 
395 0 -0.000150037 -0.000179911 
396 -2.59916e-05 -0.000150383 -0.000182429 
397 0 -0.000165071 -0.000199409 
398 -2.41662e-05 -0.000166975 -0.000199843 
399 0 -0.00018125 -0.000219971 
400 -2.14289e-05 -0.000184248 -0.000218851 
401 0 -0.000113568 -0.000138801 
402 0 -0.000125601 -0.00015578 
403 -1.8398e-05 -0.000109847 -0.000145551 
404 -2.24819e-05 -0.000123875 -0.000160359 
405 0 -0.000138493 -0.00017437 
406 -2.25112e-05 -0.000138486 -0.000176006 
407 0 -0.000152431 -0.000193754 
408 -2.03729e-05 -0.00015383 -0.000193328 
409 0 -0.000167268 -0.000214188 
410 -1.73172e-05 -0.000169651 -0.000212286 
411 0 -0.000103509 -0.000134128 
412 0 -0.00011476 -0.000150885 
413 -1.58545e-05 -9.98429e-05 -0.000140217 
414 -1.96433e-05 -0.000112904 -0.000154722 
415 0 -0.000126678 -0.000169299 
416 -1.93869e-05 -0.000126403 -0.000170179 
417 0 -0.000139466 -0.000188587 
418 -1.6966e-05 -0.000140453 -0.000187402 
419 0 -0.000152985 -0.000208912 
420 -1.36318e-05 -0.000154826 -0.000206303 
421 0 -9.33588e-05 -0.00012989 
422 0 -0.000103728 -0.000146427 
423 -1.36218e-05 -8.9836e-05 -0.000135456 
424 -1.71347e-05 -0.000101842 -0.000149652 
425 0 -0.000114631 -0.000164714 
426 -1.66102e-05 -0.000114159 -0.000164946 
427 0 -0.000126234 -0.000183901 
428 -1.39353e-05 -0.000126875 -0.000182097 
429 0 -0.000138424 -0.000204123 
430 -1.03602e-05 -0.000139804 -0.000200947 
431 0 -8.31296e-05 -0.000126138 
432 0 -9.25422e-05 -0.000142459 
433 -1.16805e-05 -7.98214e-05 -0.00013121 
434 -1.49375e-05 -9.06943e-05 -0.000145134 
435 0 -0.000102376 -0.000160626 
436 -1.41685e-05 -0.000101773 -0.000160315 
437 0 -0.000112761 -0.000179724 
438 -1.12635e-05 -0.000113143 -0.000177364 
439 0 -0.000123609 -0.000199806 
440 -7.48326e-06 -0.000124628 -0.000196148 
441 0 -7.28374e-05 -0.000122839 
442 0 -8.12266e-05 -0.00013897 
443 -1.00118e-05 -6.98054e-05 -0.000127526 
444 -1.3037e-05 -7.94778e-05 -0.000141208 
445 0 -8.99389e-05 -0.000157006 
446 -1.20532e-05 -8.92754e-05 -0.000156226 
447 0 -9.90954e-05 -0.000176023 
448 -8.93603e-06 -9.92777e-05 -0.000173199 
449 0 -0.00010859 -0.000196004 
450 -4.98582e-06 -0.000109311 -0.000191935 
451 0 -6.25012e-05 -0.000119985 
452 0 -6.98034e-05 -0.000135975 
453 -8.59944e-06 -5.98053e-05 -0.000124336 
454 -1.14137e-05 -6.82079e-05 -0.000137795 
455 0 -7.73612e-05 -0.000153876 
456 -1.02466e-05 -7.66856e-05 -0.000152708 
457 0 -8.52535e-05 -0.0001728 
458 -6.94286e-06 -8.52899e-05 -0.000169612 
459 0 -9.33821e-05 -0.000192719 
460 -2.84273e-06 -9.38839e-05 -0.000188307 
461 0 -5.21324e-05 -0.000117547 
462 0 -5.83053e-05 -0.000133412 
463 -7.43063e-06 -4.98136e-05 -0.000121628 
464 -1.00628e-05 -5.68926e-05 -0.000134928 
465 0 -6.46576e-05 -0.000151221 
466 -8.73471e-06 -6.40109e-05 -0.000149732 
467 0 -7.12554e-05 -0.00017009 
468 -5.27608e-06 -7.12032e-05 -0.000166611 
