zone_ID Sig1(MPa) Sig2(MPa) Sig3(MPa) _Sxx(MPa) _Syy(MPa) _Szz(MPa) _State
89 -95993.7 -191856 -192613 -191860 -95994.2 -192608 0
90 -68500.4 -136820 -137558 -136825 -68500.9 -137553 0
91 -40990.3 -81784.4 -82519.9 -81786.8 -40990.8 -82517 0
92 -13457.1 -26735.8 -27502.3 -26735.3 -13458.7 -27501.2 0
93 -95953.9 -191887 -192606 -191891 -95954.3 -192602 0
94 -68458.1 -136850 -137553 -136854 -68458.5 -137549 0
95 -40945 -81814.9 -82518.1 -81816.9 -40945.4 -82515.6 0
96 -13408 -26769 -27502.3 -26768.5 -13409.4 -27501.3 0
97 -95916.5 -191918 -192598 -191920 -95916.9 -192595 0
98 -68418.3 -136880 -137548 -136882 -68418.7 -137545 0
99 -40901.8 -81844.7 -82516.4 -81846.3 -40902.2 -82514.4 0
100 -13361.2 -26801.3 -27502.3 -26800.9 -13362.5 -27501.4 0
101 -95881.5 -191946 -192591 -191948 -95881.8 -192589 0
102 -68380.6 -136908 -137544 -136910 -68380.9 -137541 0
103 -40861.3 -81873.7 -82515 -81875.1 -40861.6 -82513.3 0
104 -13316.7 -26832.7 -27501.9 -26832.2 -13317.9 -27501.2 0
105 -95849.5 -191973 -192583 -191975 -95849.8 -192582 0
106 -68345.4 -136935 -137540 -136936 -68345.7 -137538 0
107 -40822.7 -81901.5 -82513.2 -81902.6 -40823 -82511.8 0
108 -13275.6 -26863.3 -27502 -26862.9 -13276.6 -27501.3 0
109 -95820.7 -192000 -192576 -192000 -95821 -192576 0
110 -68312.7 -136960 -137536 -136962 -68312.9 -137534 0
111 -40787 -81928.5 -82512.1 -81929.4 -40787.3 -82511 0
112 -13236.9 -26892.6 -27501.6 -26892.3 -13237.9 -27501 0
113 -95794.4 -192024 -192569 -192024 -95794.5 -192569 0
114 -68282.6 -136985 -137532 -136986 -68282.8 -137531 0
115 -40753.6 -81954.3 -82510.7 -81955 -40753.9 -82509.8 0
116 -13201.3 -26920.9 -27501.3 -26920.6 -13202.1 -27500.8 0
117 -95771.3 -192047 -192563 -192048 -95771.5 -192563 0
118 -68255 -137008 -137529 -137009 -68255.2 -137528 0
119 -40722.7 -81978.8 -82509.2 -81979.4 -40722.9 -82508.4 0
120 -13168.5 -26948.1 -27501.4 -26947.9 -13169.2 -27500.9 0
121 -95750.6 -192069 -192556 -192069 -95750.7 -192556 0
122 -68229.9 -137031 -137525 -137031 -68230.1 -137524 0
123 -40694.7 -82002.3 -82507.8 -82002.8 -40694.8 -82507.1 0
124 -13138.4 -26973.9 -27501.1 -26973.7 -13139 -27500.7 0
125 -95732.3 -192090 -192550 -192090 -95732.4 -192550 0
126 -68207.6 -137052 -137522 -137052 -68207.7 -137522 0
127 -40669.2 -82024.7 -82506.4 -82025.1 -40669.4 -82505.9 0
128 -13111.1 -26998.4 -27500.6 -26998.3 -13111.7 -27500.2 0
129 -95716 -192109 -192544 -192109 -95716.1 -192544 0
130 -68187.7 -137072 -137519 -137072 -68187.7 -137519 0
131 -40646.3 -82045.9 -82505.1 -82046.2 -40646.4 -82504.7 0
132 -13086 -27021.5 -27500.2 -27021.4 -13086.4 -27499.8 0
133 -95702.1 -192126 -192538 -192126 -95702.1 -192538 0
134 -68169.8 -137090 -137516 -137091 -68169.9 -137516 0
135 -40625.3 -82065.7 -82504 -82066 -40625.4 -82503.6 0
136 -13063.6 -27043.6 -27500.4 -27043.5 -13064 -27500 0
137 -95690.5 -192143 -192532 -192143 -95690.5 -192532 0
138 -68153.7 -137108 -137513 -137108 -68153.8 -137513 0
139 -40606.4 -82084.5 -82503.1 -82084.7 -40606.5 -82502.8 0
140 -13043.9 -27064.3 -27500.2 -27064.3 -13044.2 -27499.9 0
141 -95680.4 -192158 -192527 -192158 -95680.4 -192527 0
142 -68139.3 -137124 -137510 -137124 -68139.4 -137510 0
143 -40589.9 -82102 -82502.3 -82102.3 -40589.9 -82502 0
144 -13026 -27083.5 -27499.6 -27083.5 -13026.3 -27499.4 0
145 -95672 -192172 -192522 -192172 -95672.1 -192522 0
146 -68127.4 -137139 -137508 -137139 -68127.4 -137508 0
147 -40575.1 -82118.3 -82501.3 -82118.5 -40575.1 -82501.1 0
148 -13010.4 -27101.5 -27499.3 -27101.6 -13010.6 -27499.1 0
149 -95664.8 -192185 -192517 -192185 -95664.8 -192517 0
150 -68116.6 -137153 -137506 -137153 -68116.6 -137506 0
151 -40561.9 -82133.3 -82500.5 -82133.5 -40561.9 -82500.3 0
152 -12996.6 -27118.1 -27499 -27118.2 -12996.7 -27498.7 0
153 -95659 -192196 -192512 -192197 -95659 -192512 0
154 -68107.1 -137165 -137503 -137165 -68107.1 -137503 0
155 -40550.9 -82147.4 -82500.1 -82147.6 -40551 -82499.9 0
156 -12984.6 -27133.4 -27498.6 -27133.5 -12984.7 -27498.3 0
157 -95654.3 -192207 -192508 -192207 -95654.3 -192508 0
158 -68099.2 -137177 -137501 -137177 -68099.2 -137501 0
159 -40541.1 -82160 -82499.4 -82160.2 -40541.1 -82499.2 0
160 -12974.4 -27147.5 -27498.2 -27147.6 -12974.5 -27498 0
161 -95651 -192217 -192505 -192217 -95651 -192505 0
162 -68092.8 -137187 -137499 -137187 -68092.8 -137499 0
163 -40532.4 -82171.4 -82498.4 -82171.6 -40532.4 -82498.2 0
164 -12965.6 -27160.3 -27497.9 -27160.5 -12965.7 -27497.7 0
165 -95648.4 -192226 -192502 -192226 -95648.4 -192502 0
166 -68087.2 -137197 -137498 -137197 -68087.2 -137497 0
167 -40525.4 -82182 -82497.8 -82182.2 -40525.4 -82497.6 0
168 -12958.2 -27172 -27497.9 -27172.2 -12958.3 -27497.6 0
169 -95646 -192233 -192499 -192234 -95646 -192499 0
170 -68082.6 -137205 -137496 -137205 -68082.6 -137496 0
171 -40519.4 -82191.3 -82497.2 -82191.6 -40519.4 -82497 0
172 -12951.9 -27182.3 -27497.5 -27182.5 -12951.9 -27497.3 0
173 -95644.1 -192240 -192496 -192240 -95644.1 -192496 0
174 -68078.7 -137213 -137495 -137213 -68078.7 -137495 0
